on account of,～のために（o・3）
thanks to,～のおかげで（2）
on the grounds of,～という理由で（4）
in spite of,～にもかかわらず（i・3)
for all,～にもかかわらず（f・3)
with all,～にもかかわらず（ｗ・2）
regardless of,～に関わらず・～とは関係なく（ｒ・2）
irrespective of,～に関係なく・～にかまわず（i・2）
according to,～によれば（2）
instead of,～の代わりに（i・2）
in place of,～の代わりに（i・3）
in terms of,～の点から（i・3）
by means of,～によって（ｂ・3）
by way of,～経由で・～を通って（ｂ・3）
at the expense of,～を犠牲にして（expense・4）
at the cost of,～を犠牲にして（cost・4）
at the mercy of,～のなすがままになって（4）
in search of,～を探して（3）
as of,～の時点で・～現在での（2）
up to,～まで・～に至るまで（2）
on behalf of,～の利益のために（3）
in honor of,～に敬意を表して・～を祝して（3）
in favor of,～に賛成して（3）
in charge of,～の担当で（3）
contrary to,～とは逆に（2）
apart from,～は別として（2）
in the face of,～に直面して（4）
at the sight of,～を見て（4）
in return for,～のお返しに（3）
observe,観察する・気づく
realize,気づく・悟る・実現する
recognize,気がつく・認識する
interest,興味・利子・興味を持たせる
subject,主語・話題・科目・受けやすい・服従させる
issue,問題・発行・号・発行する
respect,尊敬する・尊敬・点
charge,小銭・おつり
available,利用できる・手に入る
smart,利口な・ずるい・おしゃれな・（痛みが）激しい
fast,早い・固定した・ぐっすり
anticipate,予期する
identify,同一視する・確認する
convince,納得させる・確信させる
vanish,消える
banish,追放する
dismiss,解雇する・解散させる
emphasize,強調する
exhibit,展示する
guarantee,保証する
menace,脅す・脅威を与える
characteristic,特徴的な・特徴
feature,特徴・容貌・出演させる・心に描く・主要な部分である
perspective,観点・展望・遠近法
scare,怖がらせる・おびえさせる
scarce,乏しい
consequence,結果・重要性
accomplishment,達成・功績
achievement,達成・業績
scheme,計画・陰謀
accurate,正確な（a)
precise,正確な（ｐ）
essential,基本的な・不可欠の
indispensable,不可欠の（i)
vital,生命の・重要な
significant,重要な
crucial,重大な・決定的な・命に関わる
obvious,明らかな・明白な
decent,ちゃんとした・かなりの
huge,巨大な・莫大な
immense,莫大な
enormous,べらぼうに大きい
vast,広大な・莫大な
sufficient,十分な
fragile,壊れやすい・もろい
deliberately,わざと・慎重に
deliberate,慎重な・故意の・熟考する
eventually,結局は・最終的には
figure,人・人影・姿・形・数字・図形・～と思う
term,学期・期間・間柄・条件・言葉・観点・専門用語
organization,組織・機構・団体・有機体・生物
company,会社・仲間・同席・来客
effect,効果（を与える）・結果・影響・趣旨
affect,影響する（を与える）・ふりをする
influence,影響・影響を与える（i)
impact,衝撃・影響（を与える）
reserve,予約する・とっておく
deserve,値する
preserve,保存する・保護する（ｐ）
conserve,保護する（ｃ）
describe,描写する・述べる
prescribe,規定する・処方する
subscribe,申し込む・予約購読する
inscribe,記入する・刻み込む
contribute,貢献する・寄付する
distribute,分配する
attribute,～に帰する・属性
deceive,だます
conceive,心に描く・思う・想像する・考える
perceive,認める・認知する
