possess,を所有している；の心をとらえる
dominate,を支配する；(～より)優勢である(over)
guarantee,を保証する
melt,溶ける；なごむ；を溶かす
embarrass,に恥ずかしい思いをさせる
discourage,(人)にやる気をなくさせる；を落胆させる
detect,を感知する；を見つけ出す；に気づく
devote,をささげる
urge,に(強く)促す；を強く主張する；を駆り立てる
lend,を貸す；(人)に(助言・援助など)を与える
restrict,を制限する
isolate,を孤立させる
accompany,に同行する；に付随する
exhaust,を疲れ果てさせる；を使い尽くす；排気する
annoy,を悩ます；〔受身形で〕腹が立つ
endanger,を危険にさらす
acknowledge,(事実など)を認める；に謝意を表す
admire,に(～のことで)敬服［感心］する(for)
evaluate,を評価する；を査定する
declare,を宣言する；を申告する
secure,を確保する；を守る
specialize,専門とする；【英】(～を)専攻する(in)
attribute,(結果など)を(～に)帰する(to)
pretend,(の)ふりをする
bury,を埋める；を埋葬する；を隠す
reverse,を逆転させる；を反対にする
resist,に抵抗する；〔通例否定文で〕を我慢する
scare,をおびえさせる；を脅す
imitate,をまねる；を模造する
assist,(を)援助する；を手伝う
resemble,に似ている
retire,(～から)引退する，退職する(from)；退く
neglect,をおろそかにする，怠る；を無視する
collapse,崩壊する；(人が)倒れる；を折り畳む
reform,を改革する；を改心させる
protest,(に)抗議する；を主張する
owe,に借りがある；のおかげである
sustain,を持続させる；を支える
assign,を割り当てる；を(～に)配属する(to)
accomplish,を成し遂げる
wisdom,知恵；賢明さ；学識
literacy,読み書きの能力；(特定分野の)知識
heritage,遺産
mission,使命；(外交)使節団；布教
license,免許(証)；許可
elite,〔通例the ～〕〔集合的に〕エリート
layer,層
motor,モーター；原動力
protein,たんぱく質
profession,職業；専門職；同業者仲間
editor,編集者；編集長
agent,仲介者，代理人；薬剤
globe,地球；世界；球
haven,避難所，保護区；港
row,列；(建物が並ぶ)通り
sacrifice,犠牲；いけにえ
means,〔単数・複数扱い〕手段；〔複数扱い〕資力，収入
session,集まり；(議会の)会期；(開会中の)議会
league,(競技)連盟；同盟
contest,コンテスト，競技(会)；争い
guard,警備員；警備隊；監視，警戒
opponent,(試合・論争などの)相手；反対者
glance,(～を)ちらっと見ること(at)
divorce,離婚；分離
tissue,(生物の)組織；ティッシュペーパー
liquid,液体
inequality,不平等；不公平な事柄
prejudice,(～に対する)偏見(against)
justice,公正，正義；司法
guideline,指針，ガイドライン；指導基準
platform,プラットフォーム；演壇；舞台
sector,(社会・経済などの)部門，セクター；(都市内の)地域
channel,チャンネル；伝達経路；海峡
glacier,氷河
primate,霊長目の動物
usage,(使)用法；語法；習慣
fortune,財産；幸運；運命
correlation,相互関係，相関(関係)
artistic,芸術的な
literary,文学の；文語の
classic,第一級の；典型的な；定番の
liberal,自由主義の；寛大な；一般教養の
concrete,具体的な；有形の
slight,わずかな；取るに足らない
federal,連邦(政府)の
primitive,原始的な；未開の
unfamiliar,(～に)不慣れな(with)；(～に)(よく)知られていない(to)
subtle,微妙な；(気体などが)希薄な
plain,明らかな；平易な；飾りのない；率直な
marine,海の；船舶の
apparent,明白な；一見～らしい
reluctant,気が進まない，嫌がる
temporary,一時的な
guilty,罪悪感のある；(～について)有罪の(of)
royal,王の
pure,純粋な；潔白な；まったくの
incredible,信じられない；すばらしい
eager,(～を)熱望して(for)；熱心な
adequate,十分な；適切な
via,～経由で；～の媒介で
